category,agency,description,locationType,address,borough,lat,lng,frequency
machine,environment,new home construction before 6:30 am weekdays- daytime new home new construction residential.,none,1753 W SCHOOL ST;CHICAGO; ILLINOIS;,none,41.94142361200045, -87.67317002399966,1
machine,environment,caller states that the newly installed air conditioners that were put in for the library is making a large humming noise and too loud for his quality of life living next door.,none,4904 S LAKE PARK AVE;CHICAGO; ILLINOIS;,none,41.80552225600047, -87.58908767799966,3
machine,environment,caller states that the newly installed air conditioners that were put in for the library is making a large humming noise and too loud for his quality of life living next door.,none,4904 S LAKE PARK AVE;CHICAGO; ILLINOIS;,none,41.80552225600047, -87.58908767799966,3
machine,environment,new construction going up east of above address. doing construction prior to 8 am every day after crews leave for the evening caller can also hear loud banging noises coming from property throughout the evening.,none,1164 W MADISON ST;CHICAGO; ILLINOIS;,none,41.88163746900045, -87.65685140899967,1
machine,environment,air conditioner for a high rise whenever the weather is very hot emits a high pitched sounded started 4 weeks ago sounds like a tornado siren at times.,none,720 N LARRABEE ST;CHICAGO; ILLINOIS;,none,41.895287400000484, -87.64298715299964,2
machine,environment,restaurant below residence emitts high levels of noise.,none,1909 N LINCOLN AVE;CHICAGO; ILLINOIS;,none,41.91672013400046, -87.63651094699969,5
machine,environment,restaurant below residence emitts high levels of noise.,none,1909 N LINCOLN AVE;CHICAGO; ILLINOIS;,none,41.91672013400046, -87.63651094699969,5
machine,environment,restaurant below residence emitts high levels of noise.,none,1909 N LINCOLN AVE;CHICAGO; ILLINOIS;,none,41.91672013400046, -87.63651094699969,5
machine,environment,restaurant below residence emitts high levels of noise.,none,1909 N LINCOLN AVE;CHICAGO; ILLINOIS;,none,41.91672013400046, -87.63651094699969,5
machine,environment,doing construction outside work begin at 6 am or earlier loud trucks backing up and things being slammed around before ordinance hours.,none,4114 N KNOX AVE;CHICAGO; ILLINOIS;,none,41.95571536200049, -87.74300060599967,4
machine,environment,doing construction outside work begin at 6 am or earlier loud trucks backing up and things being slammed around before ordinance hours.,none,4114 N KNOX AVE;CHICAGO; ILLINOIS;,none,41.95571536200049, -87.74300060599967,4
machine,environment,doing construction outside work begin at 6 am or earlier loud trucks backing up and things being slammed around before ordinance hours.,none,4114 N KNOX AVE;CHICAGO; ILLINOIS;,none,41.95571536200049, -87.74300060599967,4
machine,environment,doing construction outside work begin at 6 am or earlier loud trucks backing up and things being slammed around before ordinance hours.,none,4114 N KNOX AVE;CHICAGO; ILLINOIS;,none,41.95571536200049, -87.74300060599967,4
machine,environment,noise from air conditioner is really loud 24/7 goes off 3-4 minutes and comes back on side of lot.,none,4445 N SHERIDAN RD;CHICAGO; ILLINOIS;,none,41.96316756300047, -87.65471390899967,2
machine,environment,doing construction work before ordinance hours at 6:00 am and ending at 11:00 pm creating loud noise.,none,1205 N ORLEANS ST;CHICAGO; ILLINOIS;,none,41.90437605000045, -87.63746350999969,1
machine,environment,facility causing loud noise coming from business 24/7.,none,4000 W FILLMORE ST;CHICAGO; ILLINOIS;,none,41.86800828000048, -87.72648149399964,4
machine,environment,swimming pool filter/equipment - rear of lot - jun 2; 2014; noise so loud disturbing neighbors; everyday.,none,3819 N PANAMA AVE;CHICAGO; ILLINOIS;,none,41.94922225500045, -87.82915326099965,1
machine,environment,loud noise coming from fans on the roof top.,none,2368 N CLARK ST;CHICAGO; ILLINOIS;,none,41.92533314800045, -87.64036801699967,6
machine,environment,loud noise coming from fans on the roof top.,none,2368 N CLARK ST;CHICAGO; ILLINOIS;,none,41.92533314800045, -87.64036801699967,6
machine,environment,they are cutting up trailers and putting in a truck smoke is pollutin and creating loud noise.,none,3038 W FILLMORE ST;CHICAGO; ILLINOIS;,none,41.86829750300046, -87.70235040799969,1
machine,environment,caller states that the power washing of the vehicles makes loud noise.,none,10938 S TORRENCE AVE;CHICAGO; ILLINOIS;,none,41.69645488500049, -87.55954552899965,2
machine,environment,caller states that the power washing of the vehicles makes loud noise.,none,10938 S TORRENCE AVE;CHICAGO; ILLINOIS;,none,41.69645488500049, -87.55954552899965,2
machine,environment,very loud machine noise on the roof of the garage also emitting smoke.,none,1300 N LAKE SHORE DR;CHICAGO; ILLINOIS;,none,41.905934294000474, -87.62531750799968,2
machine,environment,commercial bldg have fans on rooftop making noise and vibrations.,none,75 W ELM ST;CHICAGO; ILLINOIS;,none,41.903203576000465, -87.62591955499965,2
machine,environment,commercial bldg have fans on rooftop making noise and vibrations.,none,75 W ELM ST;CHICAGO; ILLINOIS;,none,41.903203576000465, -87.62591955499965,2
machine,environment,very loud noise from air conditioning unit on roof disturbing neighbors in area.,none,5916 W LAKE ST;CHICAGO; ILLINOIS;,none,41.88798769400046, -87.77284009599964,21
machine,environment,noise from rooftop air conditioner. nothing happened after a previous inspection (14-00576538). 14-11779372,none,3740 W MONTROSE AVE;CHICAGO; ILLINOIS;,none,41.9610584940005, -87.72215121899967,5
machine,environment,noise from rooftop air conditioner. nothing happened after a previous inspection (14-00576538). 14-11779372,none,3740 W MONTROSE AVE;CHICAGO; ILLINOIS;,none,41.9610584940005, -87.72215121899967,5
machine,environment,noise from rooftop air conditioner. nothing happened after a previous inspection (14-00576538). 14-11779372,none,3740 W MONTROSE AVE;CHICAGO; ILLINOIS;,none,41.9610584940005, -87.72215121899967,5
machine,environment,noise from rooftop air conditioner. nothing happened after a previous inspection (14-00576538). 14-11779372,none,3740 W MONTROSE AVE;CHICAGO; ILLINOIS;,none,41.9610584940005, -87.72215121899967,5
machine,environment,noise issue coming from taco garcia rooftop. 14-00779858,none,3329 W ARMITAGE AVE;CHICAGO; ILLINOIS;,none,41.91734076400047, -87.71076871199966,2
machine,environment,commercial/residential generator jackhammering creating loud noise from 10:17 pm and 2 am.,none,3131 N CLARK ST;CHICAGO; ILLINOIS;,none,41.93838864300045, -87.64935409899965,2
machine,environment,24/7 humming noise due to newly installed fans from the rooftop.,none,421 W HURON ST;CHICAGO; ILLINOIS;,none,41.89468360400048, -87.63941047099968,2
machine,environment,go to fillmore and karlov to see the machinery. large unit by the viaduct.,none,4000 W FILLMORE ST;CHICAGO; ILLINOIS;,none,41.86800828000048, -87.72648149399964,4
machine,environment,the noises from carmuse lime is unbearable. 14-00711451,none,3245 E 103RD ST;CHICAGO; ILLINOIS;,none,41.706142644000465, -87.70320194399966,3
human,environment,noise coming from commercial rooftop: 14-00714303,none,4550 N MAGNOLIA AVE;CHICAGO; ILLINOIS;,none,41.96511222100048, -87.66096735899964,3
machine,environment,construction company power washing trucks all day long; making too much noise. they refuse to do the washing at another location. 14-00712012,none,10924 S TORRENCE AVE;CHICAGO; ILLINOIS;,none,41.69680134200047, -87.55955334299966,1
machine,environment,noise and vibration coming from the library roof. new air conditioner installed. 14-0069095; 14-00697316; 14-00700041,none,4904 S LAKE PARK AVE;CHICAGO; ILLINOIS;,none,41.80552225600047, -87.58908767799966,3
machine,environment,tea house has a large industrial fan that is making too much noise on roof top.,none,2131 S ARCHER AVE;CHICAGO; ILLINOIS;,none,41.8535943870005, -87.63320773799967,7
machine,environment,tea house has a large industrial fan that is making too much noise on roof top.,none,2131 S ARCHER AVE;CHICAGO; ILLINOIS;,none,41.8535943870005, -87.63320773799967,7
machine,environment,company has overhead doors propped open and loud high pitched noise coming from inside.,none,2240 W EASTWOOD AVE;CHICAGO; ILLINOIS;,none,41.96595754000049, -87.68509938499966,1
machine,environment,very loud noise coming from facility.,none,10459 S MUSKEGON AVE;CHICAGO; ILLINOIS;,none,41.705678761000456, -87.55492183499967,10
machine,environment,very loud noise coming from facility.,none,10459 S MUSKEGON AVE;CHICAGO; ILLINOIS;,none,41.705678761000456, -87.55492183499967,10
machine,environment,very loud noise coming from facility.,none,10459 S MUSKEGON AVE;CHICAGO; ILLINOIS;,none,41.705678761000456, -87.55492183499967,10
machine,environment,very loud noise coming from facility.,none,10459 S MUSKEGON AVE;CHICAGO; ILLINOIS;,none,41.705678761000456, -87.55492183499967,10
machine,environment,noise and vibration from equipment is shaking callers home.,none,1423 W WOLFRAM ST;CHICAGO; ILLINOIS;,none,41.93334265900046, -87.66457976199968,1
machine,environment,commercial bldg on roof top unit creating loud noise.,none,4617 N KEDZIE AVE;CHICAGO; ILLINOIS;,none,41.965290825000466, -87.70833420799966,1
machine,environment,commercial/residential smoke stack have a fog horn on top of roof creating loud noise.,none,600 S FEDERAL ST;CHICAGO; ILLINOIS;,none,41.87444256200047, -87.62970227299968,9
machine,environment,commercial/residential bldg exhaust fan causing loud noise possible coming from 600 s federal.,none,75 W HARRISON ST;CHICAGO; ILLINOIS;,none,41.8745010020005, -87.63007294499965,3
machine,environment,commercial/residential bldg exhaust fan causing loud noise possible coming from 600 s federal.,none,75 W HARRISON ST;CHICAGO; ILLINOIS;,none,41.8745010020005, -87.63007294499965,3
machine,environment,residential bldg have loud exhaust fan.,none,2131 S ARCHER AVE;CHICAGO; ILLINOIS;,none,41.8535943870005, -87.63320773799967,7
machine,environment,the caller states that there is a demolition crew in unit below hers making major noises with heavy equipment. this noise is unbearable to function in her unit.,none,1400 N LAKE SHORE DR;CHICAGO; ILLINOIS;,none,41.90794466500046, -87.62580497399966,5
machine,environment,commercial/residential bldg creating loud noise from generator on top of roof.,none,3329 W ARMITAGE AVE;CHICAGO; ILLINOIS;,none,41.91734076400047, -87.71076871199966,2
machine,environment,commercial bldg has three air conditioners on top of residential property makin extreme loud noise from roof.,none,3072 N LINCOLN AVE;CHICAGO; ILLINOIS;,none,41.93747012500046, -87.66561239099968,1
machine,environment,loud noise emitting from facility possible exhaust fan.,none,3101 N CLARK ST;CHICAGO; ILLINOIS;,none,41.93797022300049, -87.64903548099966,4
machine,environment,caller believes is coming from a ventilation hood from the inside of the restaurant.,none,3740 W MONTROSE AVE;CHICAGO; ILLINOIS;,none,41.9610584940005, -87.72215121899967,5
machine,environment,air conditioner facing the rear side of his house rear of lot.,none,5916 W LAKE ST;CHICAGO; ILLINOIS;,none,41.88798769400046, -87.77284009599964,21
machine,environment,csr complaint #14-00546652. chinese kitchen in strip mall. noise coming from a roof top air conditioner. can also call rabhika at 312 918 3317 for information. address on complaint given as 3100 s canal. this address is not in the system.,none,3104 S CANAL ST;CHICAGO; ILLINOIS;,none,41.838004483000475, -87.63778004899967,1
machine,environment,mixed used commercial/residential top of bldg loud buzzing noise coming from a giant exhaust fan disturbing neighbors next door.,none,1911 S MICHIGAN AVE;CHICAGO; ILLINOIS;,none,41.856271137000476, -87.62385351399968,3
machine,environment,doing construction on commercial/residential riverwalk and sidewalk causing lots of noise.,none,300 N STATE ST;CHICAGO; ILLINOIS;,none,41.888380622000454, -87.62803744999968,12
machine,environment,exhaust fan on top roof creating loud noise.,none,6339 N CLARK ST;CHICAGO; ILLINOIS;,none,41.99753973500049, -87.67033540999967,1
machine,environment,loud noise coming from exhaust fan.,none,405 N WABASH AVE;CHICAGO; ILLINOIS;,none,41.88966195900048, -87.62659363999967,8
machine,environment,construction starting work before ordinance hours at 6 am creating loud noise.,none,1212 N WELLS ST;CHICAGO; ILLINOIS;,none,41.90425253900048, -87.63450598399965,2
machine,environment,construction causing lots of noise on wells.,none,900 S CLARK ST;CHICAGO; ILLINOIS;,none,41.87139022200046, -87.63062039699969,1
machine,environment,make shift compressor that runs and makes noise constantly every day.,none,4550 N MAGNOLIA AVE;CHICAGO; ILLINOIS;,none,41.96511222100048, -87.66096735899964,3
machine,environment,caller said there are huge generator in lot making plenty of noise.,none,3400 S CALUMET AVE;CHICAGO; ILLINOIS;,none,41.83278993900046, -87.61811745499966,1
machine,environment,large machinary equipment on garage roof top creating noise and vibration.,none,3470 N LAKE SHORE DR;CHICAGO; ILLINOIS;,none,41.94532429800046, -87.64158506199965,6
machine,environment,very large white sewer truck is making extremely loud noise from street area. the is the 2nd day it ran from early morning to 3 pm yesterday. the noise never stop.,none,549 W RANDOLPH ST;CHICAGO; ILLINOIS;,none,41.88441331600046, -87.64167009499965,1
machine,environment,on cullerton side of property excessive noise and dust coming from replacing of the roof cyclone separator be used need noise bafflement and dust containment.,none,1910 S CALUMET AVE;CHICAGO; ILLINOIS;,none,41.85639016800047, -87.61916197899967,1
machine,environment,large machine emitting noise constantly,none,321 E CULLERTON ST;CHICAGO; ILLINOIS;,none,41.855533677000494, -87.61985048799966,1
machine,environment,construction site is possible using a generator creating loud noise.,none,10200 S INDIANAPOLIS AVE;CHICAGO; ILLINOIS;,none,41.7099382610005, -87.53239114499968,1
machine,environment,contractor are working before ordinance hours at 6:45 am creating loud noise.,none,2628 N ORCHARD ST;CHICAGO; ILLINOIS;,none,41.929980301000455, -87.64648778599968,1
machine,environment,commercial/residential creating loud noise from rooftop.,none,2131 S ARCHER AVE;CHICAGO; ILLINOIS;,none,41.8535943870005, -87.63320773799967,7
machine,environment,mrs green's noise abatement construction set to begin next week. ms. gustafson and art bushonville are both available to provide access to their respective decks.,none,555 W WEBSTER AVE;CHICAGO; ILLINOIS;,none,41.92182599300048, -87.64319183399965,11
machine,environment,mrs green's noise abatement construction set to begin next week. ms. gustafson and art bushonville are both available to provide access to their respective decks.,none,555 W WEBSTER AVE;CHICAGO; ILLINOIS;,none,41.92182599300048, -87.64319183399965,11
machine,environment,caller states that the people have a loud generator running in front of the bldg creating noise.,none,1024 W WOLFRAM ST;CHICAGO; ILLINOIS;,none,41.93353854700047, -87.65495129599964,2
machine,environment,large compressors in the parking lot area creating loud noise travels through the opens of the bldg which is where residents houses are rear of lot at 9:00 pm.,none,555 W WEBSTER AVE;CHICAGO; ILLINOIS;,none,41.92182599300048, -87.64319183399965,11
machine,environment,large compressors in the parking lot area creating loud noise travels through the opens of the bldg which is where residents houses are rear of lot at 9:00 pm.,none,555 W WEBSTER AVE;CHICAGO; ILLINOIS;,none,41.92182599300048, -87.64319183399965,11
machine,environment,construction worker are working at 7:15 am before ordinance hours creating loud noise.,none,4110 N MONTICELLO AVE;CHICAGO; ILLINOIS;,none,41.95583996200048, -87.71913034499966,1
machine,environment,construction workers are working before ordinance hours creating loud noise.,none,1917 N LINCOLN AVE;CHICAGO; ILLINOIS;,none,41.916808354000466, -87.63663419599965,1
machine,environment,doing construction work using jackhammer creating loud noise around the brown line.,none,300 W CHICAGO AVE;CHICAGO; ILLINOIS;,none,41.8966128990005, -87.63604991299968,1
machine,environment,there are large compressors in the parking lot.,none,555 W WEBSTER AVE;CHICAGO; ILLINOIS;,none,41.92182599300048, -87.64319183399965,11
machine,environment,electrical generator in front of bldg creating loud noise.,none,1024 W WOLFRAM ST;CHICAGO; ILLINOIS;,none,41.93353854700047, -87.65495129599964,2
machine,environment,heating and cooling system creating loud noise coming from next door duplex bldg.,none,3849 N PACIFIC AVE;CHICAGO; ILLINOIS;,none,41.95011181600046, -87.82683371699966,1
machine,environment,loud noise from new construction project in front of school bldg.,none,350 E SOUTH WATER ST;CHICAGO; ILLINOIS;,none,41.886520319000454, -87.61827380599965,1
machine,environment,hvac unit on roof on alley side of rooftop creating loud noise and vibration that can be heard and felt throughout the condo bldg.,none,1525 N CLARK ST;CHICAGO; ILLINOIS;,none,41.909921445000464, -87.63159758099965,1
machine,environment,neighbor indicating that there is an alarm going on and off every 15 mins coming from the basement on the south side of the bldg. it's speculated that it might be the carbon monoxide but going off for other possible detected strong foul odors.,none,2725 N AVERS AVE;CHICAGO; ILLINOIS;,none,41.930792659000474, -87.72321362299965,1
machine,environment,rehab work being done indoors creating loud noise no plans or permits. demo; electrical and plumbing etc.,none,2429 N AUSTIN AVE;CHICAGO; ILLINOIS;,none,41.92474202800048, -87.77571388699965,1
machine,environment,facility have very loud intercom system.,none,3855 W LAWRENCE AVE;CHICAGO; ILLINOIS;,none,41.96825294900049, -87.72485025499964,2
machine,environment,the store alarm goes off during high winds throughout the night the siren is sounding for several hours and disturbing the residents. the store has been ticketedbut they are refusing to adjust their speaker indoors.,none,2352 N CLARK ST;CHICAGO; ILLINOIS;,none,41.92513664000046, -87.64023974899965,1
machine,environment,facility that is under construction causing noise and vibrations and neighbors bldg to shake.,none,834 W ARMITAGE AVE;CHICAGO; ILLINOIS;,none,41.918201241000475, -87.64959784699965,1
machine,environment,generator from the coolers is making loud noise.,none,555 W WEBSTER AVE;CHICAGO; ILLINOIS;,none,41.92182599300048, -87.64319183399965,11
machine,environment,generator from the coolers is making loud noise.,none,555 W WEBSTER AVE;CHICAGO; ILLINOIS;,none,41.92182599300048, -87.64319183399965,11
machine,environment,property manager recieved complaints from tenants about a mechanical noise they have checked in the bldg and with neighbors and in unable to locate source of the noise. the sounds are intermittent during hte day and then from 2 pm all the way until 4 am.,none,1700 E 56TH ST;CHICAGO; ILLINOIS;,none,41.793429819000494, -87.58376930799966,14
machine,environment,using compressor in the garage and making loud noise.,none,555 W WEBSTER AVE;CHICAGO; ILLINOIS;,none,41.92182599300048, -87.64319183399965,11
machine,environment,using compressor in the garage and making loud noise.,none,555 W WEBSTER AVE;CHICAGO; ILLINOIS;,none,41.92182599300048, -87.64319183399965,11
machine,environment,using compressor in the garage and making loud noise.,none,555 W WEBSTER AVE;CHICAGO; ILLINOIS;,none,41.92182599300048, -87.64319183399965,11
machine,environment,loud generator at above location creating noise.,none,2600 W BLOOMINGDALE AVE;CHICAGO; ILLINOIS;,none,41.913978563000455, -87.69233131799967,1
machine,environment,exhaust fan on side of property on ontario side is creating loud noise.,none,450 E OHIO ST;CHICAGO; ILLINOIS;,none,41.89268785200045, -87.61564120199967,1
machine,environment,resisential- noise complaont.magnolia plaza- 2 air compressors on top of roof. rooftop,none,4550 N MAGNOLIA AVE;CHICAGO; ILLINOIS;,none,41.96511222100048, -87.66096735899964,3
machine,environment,residential- no name make construction noise as early 7 am and late to 3 am.,none,2536 N SAWYER AVE;CHICAGO; ILLINOIS;,none,41.92768956500049, -87.70939776299969,2
machine,environment,residential- zumba fitness- too loud noise all day until 11 pm,none,6109 W BELMONT AVE;CHICAGO; ILLINOIS;,none,41.93837352100047, -87.77914999199965,1
machine,environment,a loud noise sound comes from this bldg 24hrs 7 days never stop. people live here and caller lives across the street.,none,1909 N LINCOLN AVE;CHICAGO; ILLINOIS;,none,41.91672013400046, -87.63651094699969,5
machine,environment,caller said prsbyterian church-hvac unit on roof creating nose nuisance- rooftop,none,600 W FULLERTON PKWY;CHICAGO; ILLINOIS;,none,41.92551647400046, -87.64405082799965,2
machine,environment,residential-alley; lake shore recycling breaking city ordinace; early pick-up making noise,none,7600 S OGLESBY AVE;CHICAGO; ILLINOIS;,none,41.75699975500049, -87.56754726399964,1
machine,environment,midwest galvanizing. caller states there is a loud fan blowing dust after 4:30 pm,none,7400 S DAMEN AVE;CHICAGO; ILLINOIS;,none,41.758929827000486, -87.67343735299966,5
machine,environment,mixed use commercial/residential building. rear big generator noise complaint.,none,61 E OAK ST;CHICAGO; ILLINOIS;,none,41.90073069200048, -87.62632189799967,1
machine,environment,finkle steel-loud humming noise coming from the plant that continues into the night neighbors can hear it several blocks away.,none,2011 N SOUTHPORT AVE;CHICAGO; ILLINOIS;,none,41.918139452000446, -87.66296426299965,3
human,environment,loud noise coming from commercial bldg in alley.,none,4613 N KEDZIE AVE;CHICAGO; ILLINOIS;,none,41.96510223200045, -87.70833095799969,1
machine,environment,side of lot exhaust fan runs after hours from car repair shop.,none,3525 N HARLEM AVE;CHICAGO; ILLINOIS;,none,41.94411464500047, -87.80693011299968,1
machine,environment,commercial- cafe margot. the air conditioning unit is extremley loud. alley it's on 24hrs a day,none,1437 N WELLS ST;CHICAGO; ILLINOIS;,none,41.908762183000476, -87.63461352199965,3
machine,environment,loud exhaust fan on roof top by garage disturbing the neighbors.,none,555 W WEBSTER AVE;CHICAGO; ILLINOIS;,none,41.92182599300048, -87.64319183399965,11
machine,environment,workers are working before ordinance hours at 6 am creating loud noise.,none,2817 N CLARK ST;CHICAGO; ILLINOIS;,none,41.9332508650005, -87.6452269139997,1
machine,environment,rehab bldg start work before ordinance hours at 7 am creating loud noise.,none,4911 N HERMITAGE AVE;CHICAGO; ILLINOIS;,none,41.97225175900047, -87.67264343099964,1
machine,environment,facility exhaust fan to loud creating noise from 7 am to 11 pm.,none,4911 N WESTERN AVE;CHICAGO; ILLINOIS;,none,41.97082177800047, -87.68893323899965,3
machine,environment,facility exhaust fan to loud creating noise from 7 am to 11 pm.,none,4911 N WESTERN AVE;CHICAGO; ILLINOIS;,none,41.97082177800047, -87.68893323899965,3
machine,environment,using generator creating loud noise every day and night.,none,6949 S THROOP ST;CHICAGO; ILLINOIS;,none,41.76722164600045, -87.65653337899965,1
machine,environment,fans on garage roof causing excess noise.,none,1715 N WELLS ST;CHICAGO; ILLINOIS;,none,41.91325448700047, -87.63473735999969,7
machine,environment,refrigerator noise coming from storage trailers in the lot behind the building. 


contact information:


vosges chocolate2950 n oakleychicago il 
,none,2950 N OAKLEY AVE;CHICAGO; ILLINOIS;,none,41.93538624200045, -87.68556872699969,2
machine,environment,refrigerator noise coming from storage trailers in the lot behind the building. 


contact information:


vosges chocolate2950 n oakleychicago il 
,none,2950 N OAKLEY AVE;CHICAGO; ILLINOIS;,none,41.93538624200045, -87.68556872699969,2
machine,environment,facility have exhaust fan creating loud noise after 4:30 am all day six days a week also smelly smoke in air on rainy days.,none,7400 S DAMEN AVE;CHICAGO; ILLINOIS;,none,41.758929827000486, -87.67343735299966,5
machine,environment,there is a humming noise constantly coming from this bldg on roof top.,none,7400 S DAMEN AVE;CHICAGO; ILLINOIS;,none,41.758929827000486, -87.67343735299966,5
machine,environment,caller states that at this shop they are repairing tires and they are out in the alley most of the time with drills going on from 7 am until 8 pm and the noise is right under complainant window which is very disturbin. they are not working under the license of the person who has licensing under the facility name.,none,3822 W MONTROSE AVE;CHICAGO; ILLINOIS;,none,41.96103437000045, -87.72380053999967,1
machine,environment,drilling on sidewalk since 6 am causing loud noise.,none,4800 N DAMEN AVE;CHICAGO; ILLINOIS;,none,41.96898964900049, -87.67922756899969,1
machine,environment,contractor are working before ordinance hours at 7:00 am creating loud noise.,none,1122 W FULLERTON AVE;CHICAGO; ILLINOIS;,none,41.92534812800045, -87.65698161599965,1
machine,environment,construction workers are start work at 7 am creating loud noise and disturbing neighbors.,none,1436 W FARWELL AVE;CHICAGO; ILLINOIS;,none,42.006678483000485, -87.66720120299965,1
machine,environment,roof top exhaust fan creating loud noise.,none,201 E DELAWARE PL;CHICAGO; ILLINOIS;,none,41.89922359500048, -87.62177940599969,4
machine,environment,home running a generator for weeks causing loud noise.,none,5527 S MAY ST;CHICAGO; ILLINOIS;,none,41.792970536000496, -87.65358353799968,1
machine,environment,business starts working at about 7:30 am or earlier the machinery he uses creates a lot of noise and disturbing the neighbors in an open garage.,none,2654 W 59TH ST;CHICAGO; ILLINOIS;,none,41.78645783900049, -87.69095088399968,1
machine,environment,industrial noise coming from above location.,none,1948 N MAUD AVE;CHICAGO; ILLINOIS;,none,41.9169768000005, -87.65645847999969,1
machine,environment,very loud noise coming from facility.,none,600 W KINZIE ST;CHICAGO; ILLINOIS;,none,41.889088124000466, -87.64325102599969,8
machine,environment,trailer repair in residential area parkway creating loud noise.,none,3411 W 62ND PL;CHICAGO; ILLINOIS;,none,41.779782670000486, -87.70857042599965,1
machine,environment,facility is working outside before ordinance hours creating loud noise at 5:30 am.,none,1909 N CLIFTON AVE;CHICAGO; ILLINOIS;,none,41.9162295750005, -87.65763840899967,39
machine,environment,generator making a lot of noise in the rear of the cha bldg. the caller states this is the 3rd time its been going off right under the caller window on the second floor.,none,2640 N SHEFFIELD AVE;CHICAGO; ILLINOIS;,none,41.92974245000045, -87.65375394999967,1
machine,environment,large generator or fan constantly blowing disturbing callers.,none,2900 N OAKLEY AVE;CHICAGO; ILLINOIS;,none,41.934839473000466, -87.68555705299968,3
machine,environment,loud noise coming from rooftop.,none,600 W VAN BUREN ST;CHICAGO; ILLINOIS;,none,41.87674833800048, -87.64287077299969,3
